amplicon,sample_name,sample_title,sra_title,block,unique_id,drought,inoculum,fire_freq,species,sra_accession,sra_bioproject,filename_r1,filename_r2,wilting_scale,bud_number,leaf_number,leaf_length,height,nodule_num,shoot_dm,final_root_dm,seqtab_rows,inoculum_site,inoculum_burn_freq,mean_NO3,mean_NH4,mean_P,mean_K,mean_SO4_S,mean_B,mean_OM,mean_pH,mean_EC,mean_Zn,mean_Mn,mean_Cu,mean_Fe,mean_Ca,mean_Mg,mean_Na,mean_TKN,mean_C_N_ratio,mean_Sand,mean_Silt,mean_Clay,host,other_frompreviouscolumn
ITS2,F-R-083,F-R-083_ITS,ITS2 amplicons from Snowbrush sample F-R-083,3,Q083,ND,3Burn_W5,3,Snowbrush,SRR27554135,PRJNA1064977,F-R-083_S256_L001_R1_001.fastq.gz,F-R-083_S256_L001_R2_001.fastq.gz,1,0,27,2.7,6.1,46,0.642,1.012,F-R-083,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Ceanothus velutinus,NA
ITS2,F-R-084,F-R-084_ITS,ITS2 amplicons from Snowbrush sample F-R-084,3,Q084,D,0Burn_W1,0,Snowbrush,SRR27554134,PRJNA1064977,F-R-084_S268_L001_R1_001.fastq.gz,F-R-084_S268_L001_R2_001.fastq.gz,6,0,18,2,4.4,1,0.1962,0.3318,F-R-084,1,0,1.36666666666667,10.0666666666667,10,108,12,0.036666666666667,7.89333333333333,5.96666666666667,0.096666666666667,0.733333333333333,26.3,0.533333333333333,58,1.66666666666667,0.4,0.043333333333333,0.179,26.3323333333333,80.8,18.8,0.4,Ceanothus velutinus,NA
ITS2,F-R-141,F-R-141_ITS,ITS2 amplicons from Snowbrush sample F-R-141,6,Q141,D,0Burn_W2,0,Snowbrush,SRR27554133,PRJNA1064977,F-R-141_S280_L001_R1_001.fastq.gz,F-R-141_S280_L001_R2_001.fastq.gz,6,0,24,2.6,4.7,2,0.534,0.794,F-R-141,2,0,1.33333333333333,8.1,7.66666666666667,92.3333333333333,6,0.043333333333333,6.40666666666667,6.16666666666667,0.086666666666667,0.266666666666667,16,0.433333333333333,29,1.83333333333333,0.333333333333333,0.036666666666667,0.166333333333333,26.2156666666667,80.8,18.8,0.4,Ceanothus velutinus,NA
ITS2,F-R-142,F-R-142_ITS,ITS2 amplicons from Snowbrush sample F-R-142,6,Q142,D,Sterile,NA,Snowbrush,SRR27554132,PRJNA1064977,F-R-142_S197_L001_R1_001.fastq.gz,F-R-142_S197_L001_R2_001.fastq.gz,6,0,9,2,5,0,0.1799,0.207,F-R-142,Sterile,NA,2.45,19.1,6.16666666666667,52.8333333333333,8.5,0.04,4.825,5.73333333333333,0.11,0.25,63.2833333333333,0.533333333333333,14.8333333333333,1.55,0.3,0.07,0.110333333333333,25.6353333333333,88.8,10.8,0.4,Ceanothus velutinus,NA
ITS2,F-R-143,F-R-143_ITS,ITS2 amplicons from GrandFir sample F-R-143,6,Q143,D,3Burn_W6,3,GrandFir,SRR27554131,PRJNA1064977,F-R-143_S366_L001_R1_001.fastq.gz,F-R-143_S366_L001_R2_001.fastq.gz,1,7,25,2.1,5.3,NA,0.1613,0.2743,F-R-143,6,3,8.53333333333333,6.2,7.66666666666667,59.3333333333333,4.66666666666667,0.103333333333333,5.67,5.73333333333333,0.053333333333333,0.733333333333333,10.2333333333333,0.766666666666667,23,2.86666666666667,0.4,0.046666666666667,0.156666666666667,21.452,90.8,8.8,0.4,Abies grandis,NA
ITS2,F-R-144,F-R-144_ITS,ITS2 amplicons from GrandFir sample F-R-144,6,Q144,ND,Sterile,NA,GrandFir,SRR27554130,PRJNA1064977,F-R-144_S378_L001_R1_001.fastq.gz,F-R-144_S378_L001_R2_001.fastq.gz,1,1,24,1.1,4.4,NA,0.0772,0.1661,F-R-144,Sterile,NA,2.45,19.1,6.16666666666667,52.8333333333333,8.5,0.04,4.825,5.73333333333333,0.11,0.25,63.2833333333333,0.533333333333333,14.8333333333333,1.55,0.3,0.07,0.110333333333333,25.6353333333333,88.8,10.8,0.4,Abies grandis,NA
ITS2,F-R-145,F-R-145_ITS,ITS2 amplicons from GrandFir sample F-R-145,6,Q145,D,0Burn_W1,0,GrandFir,SRR27554129,PRJNA1064977,F-R-145_S295_L001_R1_001.fastq.gz,F-R-145_S295_L001_R2_001.fastq.gz,1,3,35,2.1,5.8,NA,0.1072,0.1789,F-R-145,1,0,1.36666666666667,10.0666666666667,10,108,12,0.036666666666667,7.89333333333333,5.96666666666667,0.096666666666667,0.733333333333333,26.3,0.533333333333333,58,1.66666666666667,0.4,0.043333333333333,0.179,26.3323333333333,80.8,18.8,0.4,Abies grandis,NA
ITS2,F-R-146,F-R-146_ITS,ITS2 amplicons from Snowbrush sample F-R-146,6,Q146,D,3Burn_W5,3,Snowbrush,SRR27554128,PRJNA1064977,F-R-146_S209_L001_R1_001.fastq.gz,F-R-146_S209_L001_R2_001.fastq.gz,6,0,17,1.8,4,7,0.2205,0.4832,F-R-146,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Ceanothus velutinus,NA
ITS2,F-R-147,F-R-147_ITS,ITS2 amplicons from Snowbrush sample F-R-147,6,Q147,ND,1Burn_W4,1,Snowbrush,SRR27554126,PRJNA1064977,F-R-147_S221_L001_R1_001.fastq.gz,F-R-147_S221_L001_R2_001.fastq.gz,1,0,33,3,8.2,0,1.149,3.2471,F-R-147,4,1,4.16666666666667,10.4333333333333,8.33333333333333,72.3333333333333,9.66666666666667,0.05,5.97666666666667,6,0.033333333333333,0.333333333333333,12.2,0.733333333333333,20.6666666666667,1.5,0.333333333333333,0.056666666666667,0.103,17.1983333333333,88.8,10.8,0.4,Ceanothus velutinus,NA
ITS2,F-R-148,F-R-148_ITS,ITS2 amplicons from GrandFir sample F-R-148,6,Q148,ND,1Burn_W4,1,GrandFir,SRR27554125,PRJNA1064977,F-R-148_S307_L001_R1_001.fastq.gz,F-R-148_S307_L001_R2_001.fastq.gz,1,4,87,2.4,7.8,NA,0.324,0.8101,F-R-148,4,1,4.16666666666667,10.4333333333333,8.33333333333333,72.3333333333333,9.66666666666667,0.05,5.97666666666667,6,0.033333333333333,0.333333333333333,12.2,0.733333333333333,20.6666666666667,1.5,0.333333333333333,0.056666666666667,0.103,17.1983333333333,88.8,10.8,0.4,Abies grandis,NA
ITS2,F-R-149,F-R-149_ITS,ITS2 amplicons from GrandFir sample F-R-149,6,Q149,ND,3Burn_W5,3,GrandFir,SRR27554124,PRJNA1064977,F-R-149_S319_L001_R1_001.fastq.gz,F-R-149_S319_L001_R2_001.fastq.gz,1,8,61,1.7,6.5,NA,0.2849,0.3496,F-R-149,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Abies grandis,NA
ITS2,F-R-150,F-R-150_ITS,ITS2 amplicons from Snowbrush sample F-R-150,6,Q150,ND,3Burn_W6,3,Snowbrush,SRR27554123,PRJNA1064977,F-R-150_S233_L001_R1_001.fastq.gz,F-R-150_S233_L001_R2_001.fastq.gz,1,0,16,1.5,4.5,17,0.2161,0.2944,F-R-150,6,3,8.53333333333333,6.2,7.66666666666667,59.3333333333333,4.66666666666667,0.103333333333333,5.67,5.73333333333333,0.053333333333333,0.733333333333333,10.2333333333333,0.766666666666667,23,2.86666666666667,0.4,0.046666666666667,0.156666666666667,21.452,90.8,8.8,0.4,Ceanothus velutinus,NA
ITS2,F-R-151,F-R-151_ITS,ITS2 amplicons from GrandFir sample F-R-151,6,Q151,ND,3Burn_W6,3,GrandFir,SRR27554122,PRJNA1064977,F-R-151_S331_L001_R1_001.fastq.gz,F-R-151_S331_L001_R2_001.fastq.gz,1,4,60,1.2,5.7,NA,0.1898,0.2291,F-R-151,6,3,8.53333333333333,6.2,7.66666666666667,59.3333333333333,4.66666666666667,0.103333333333333,5.67,5.73333333333333,0.053333333333333,0.733333333333333,10.2333333333333,0.766666666666667,23,2.86666666666667,0.4,0.046666666666667,0.156666666666667,21.452,90.8,8.8,0.4,Abies grandis,NA
ITS2,F-R-152,F-R-152_ITS,ITS2 amplicons from GrandFir sample F-R-152,6,Q152,D,Sterile,NA,GrandFir,SRR27554121,PRJNA1064977,F-R-152_S343_L001_R1_001.fastq.gz,F-R-152_S343_L001_R2_001.fastq.gz,1,4,31,2.2,5.5,NA,0.1317,0.1839,F-R-152,Sterile,NA,2.45,19.1,6.16666666666667,52.8333333333333,8.5,0.04,4.825,5.73333333333333,0.11,0.25,63.2833333333333,0.533333333333333,14.8333333333333,1.55,0.3,0.07,0.110333333333333,25.6353333333333,88.8,10.8,0.4,Abies grandis,NA
ITS2,F-R-153,F-R-153_ITS,ITS2 amplicons from Snowbrush sample F-R-153,6,Q153,ND,0Burn_W1,0,Snowbrush,SRR27554120,PRJNA1064977,F-R-153_S245_L001_R1_001.fastq.gz,F-R-153_S245_L001_R2_001.fastq.gz,1,0,17,3.1,5,2,0.4904,1.4133,F-R-153,1,0,1.36666666666667,10.0666666666667,10,108,12,0.036666666666667,7.89333333333333,5.96666666666667,0.096666666666667,0.733333333333333,26.3,0.533333333333333,58,1.66666666666667,0.4,0.043333333333333,0.179,26.3323333333333,80.8,18.8,0.4,Ceanothus velutinus,NA
ITS2,F-R-154,F-R-154_ITS,ITS2 amplicons from GrandFir sample F-R-154,6,Q154,D,1Burn_W3,1,GrandFir,SRR27554119,PRJNA1064977,F-R-154_S355_L001_R1_001.fastq.gz,F-R-154_S355_L001_R2_001.fastq.gz,2,2,14,0.7,4.7,NA,0.0529,0.1469,F-R-154,3,1,1.7,4.96666666666667,7.33333333333333,61.6666666666667,11.3333333333333,0.07,5.18333333333333,6.36666666666667,0.416666666666667,0.1,10.1,0.666666666666667,15.3333333333333,2.03333333333333,0.3,0.04,0.099,27.1886666666667,82.8,16.8,0.4,Abies grandis,NA
ITS2,F-R-155,F-R-155_ITS,ITS2 amplicons from Snowbrush sample F-R-155,6,Q155,D,3Burn_W6,3,Snowbrush,SRR27554118,PRJNA1064977,F-R-155_S257_L001_R1_001.fastq.gz,F-R-155_S257_L001_R2_001.fastq.gz,5,0,17,3.4,5.2,9,0.4765,0.5283,F-R-155,6,3,8.53333333333333,6.2,7.66666666666667,59.3333333333333,4.66666666666667,0.103333333333333,5.67,5.73333333333333,0.053333333333333,0.733333333333333,10.2333333333333,0.766666666666667,23,2.86666666666667,0.4,0.046666666666667,0.156666666666667,21.452,90.8,8.8,0.4,Ceanothus velutinus,NA
ITS2,F-R-156,F-R-156_ITS,ITS2 amplicons from GrandFir sample F-R-156,6,Q156,ND,0Burn_W2,0,GrandFir,SRR27554117,PRJNA1064977,F-R-156_S367_L001_R1_001.fastq.gz,F-R-156_S367_L001_R2_001.fastq.gz,1,4,29,1.8,5.9,NA,0.1,0.2247,F-R-156,2,0,1.33333333333333,8.1,7.66666666666667,92.3333333333333,6,0.043333333333333,6.40666666666667,6.16666666666667,0.086666666666667,0.266666666666667,16,0.433333333333333,29,1.83333333333333,0.333333333333333,0.036666666666667,0.166333333333333,26.2156666666667,80.8,18.8,0.4,Abies grandis,NA
ITS2,F-R-157,F-R-157_ITS,ITS2 amplicons from Snowbrush sample F-R-157,6,Q157,ND,0Burn_W2,0,Snowbrush,SRR27554115,PRJNA1064977,F-R-157_S269_L001_R1_001.fastq.gz,F-R-157_S269_L001_R2_001.fastq.gz,1,0,34,2.6,6,6,0.8851,1.2181,F-R-157,2,0,1.33333333333333,8.1,7.66666666666667,92.3333333333333,6,0.043333333333333,6.40666666666667,6.16666666666667,0.086666666666667,0.266666666666667,16,0.433333333333333,29,1.83333333333333,0.333333333333333,0.036666666666667,0.166333333333333,26.2156666666667,80.8,18.8,0.4,Ceanothus velutinus,NA
ITS2,F-R-158,F-R-158_ITS,ITS2 amplicons from Snowbrush sample F-R-158,6,Q158,D,1Burn_W3,1,Snowbrush,SRR27554114,PRJNA1064977,F-R-158_S281_L001_R1_001.fastq.gz,F-R-158_S281_L001_R2_001.fastq.gz,1,0,4,1.1,3.9,0,0.0511,NA,F-R-158,3,1,1.7,4.96666666666667,7.33333333333333,61.6666666666667,11.3333333333333,0.07,5.18333333333333,6.36666666666667,0.416666666666667,0.1,10.1,0.666666666666667,15.3333333333333,2.03333333333333,0.3,0.04,0.099,27.1886666666667,82.8,16.8,0.4,Ceanothus velutinus,NA
ITS2,F-R-159,F-R-159_ITS,ITS2 amplicons from GrandFir sample F-R-159,6,Q159,ND,0Burn_W1,0,GrandFir,SRR27554113,PRJNA1064977,F-R-159_S379_L001_R1_001.fastq.gz,F-R-159_S379_L001_R2_001.fastq.gz,1,4,23,1.7,5.8,NA,0.1112,0.3041,F-R-159,1,0,1.36666666666667,10.0666666666667,10,108,12,0.036666666666667,7.89333333333333,5.96666666666667,0.096666666666667,0.733333333333333,26.3,0.533333333333333,58,1.66666666666667,0.4,0.043333333333333,0.179,26.3323333333333,80.8,18.8,0.4,Abies grandis,NA
ITS2,F-R-160,F-R-160_ITS,ITS2 amplicons from GrandFir sample F-R-160,6,Q160,D,3Burn_W5,3,GrandFir,SRR27554112,PRJNA1064977,F-R-160_S296_L001_R1_001.fastq.gz,F-R-160_S296_L001_R2_001.fastq.gz,2,10,38,2.2,7.2,NA,0.2694,0.2617,F-R-160,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Abies grandis,NA
ITS2,F-R-161,F-R-161_ITS,ITS2 amplicons from GrandFir sample F-R-161,6,Q161,ND,1Burn_W3,1,GrandFir,SRR27554111,PRJNA1064977,F-R-161_S308_L001_R1_001.fastq.gz,F-R-161_S308_L001_R2_001.fastq.gz,1,2,14,1.4,4.5,NA,0.0455,0.1054,F-R-161,3,1,1.7,4.96666666666667,7.33333333333333,61.6666666666667,11.3333333333333,0.07,5.18333333333333,6.36666666666667,0.416666666666667,0.1,10.1,0.666666666666667,15.3333333333333,2.03333333333333,0.3,0.04,0.099,27.1886666666667,82.8,16.8,0.4,Abies grandis,NA
ITS2,F-R-162,F-R-162_ITS,ITS2 amplicons from Snowbrush sample F-R-162,6,Q162,ND,3Burn_W5,3,Snowbrush,SRR27554110,PRJNA1064977,F-R-162_S198_L001_R1_001.fastq.gz,F-R-162_S198_L001_R2_001.fastq.gz,1,0,27,3.2,9.4,35,1.1376,0.8776,F-R-162,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Ceanothus velutinus,NA
ITS2,F-R-163,F-R-163_ITS,ITS2 amplicons from Snowbrush sample F-R-163,6,Q163,D,0Burn_W1,0,Snowbrush,SRR27554205,PRJNA1064977,F-R-163_S210_L001_R1_001.fastq.gz,F-R-163_S210_L001_R2_001.fastq.gz,6,0,11,2.2,5.4,0,0.1939,0.3131,F-R-163,1,0,1.36666666666667,10.0666666666667,10,108,12,0.036666666666667,7.89333333333333,5.96666666666667,0.096666666666667,0.733333333333333,26.3,0.533333333333333,58,1.66666666666667,0.4,0.043333333333333,0.179,26.3323333333333,80.8,18.8,0.4,Ceanothus velutinus,NA
ITS2,F-R-164,F-R-164_ITS,ITS2 amplicons from Snowbrush sample F-R-164,6,Q164,ND,Sterile,NA,Snowbrush,SRR27554204,PRJNA1064977,F-R-164_S222_L001_R1_001.fastq.gz,F-R-164_S222_L001_R2_001.fastq.gz,1,0,9,1.6,3.9,0,0.1752,0.2053,F-R-164,Sterile,NA,2.45,19.1,6.16666666666667,52.8333333333333,8.5,0.04,4.825,5.73333333333333,0.11,0.25,63.2833333333333,0.533333333333333,14.8333333333333,1.55,0.3,0.07,0.110333333333333,25.6353333333333,88.8,10.8,0.4,Ceanothus velutinus,NA
ITS2,F-R-165,F-R-165_ITS,ITS2 amplicons from Snowbrush sample F-R-165,6,Q165,D,1Burn_W4,1,Snowbrush,SRR27554203,PRJNA1064977,F-R-165_S234_L001_R1_001.fastq.gz,F-R-165_S234_L001_R2_001.fastq.gz,6,0,21,2.1,3.6,1,0.3673,0.7657,F-R-165,4,1,4.16666666666667,10.4333333333333,8.33333333333333,72.3333333333333,9.66666666666667,0.05,5.97666666666667,6,0.033333333333333,0.333333333333333,12.2,0.733333333333333,20.6666666666667,1.5,0.333333333333333,0.056666666666667,0.103,17.1983333333333,88.8,10.8,0.4,Ceanothus velutinus,NA
ITS2,F-R-166,F-R-166_ITS,ITS2 amplicons from GrandFir sample F-R-166,6,Q166,D,0Burn_W2,0,GrandFir,SRR27554202,PRJNA1064977,F-R-166_S320_L001_R1_001.fastq.gz,F-R-166_S320_L001_R2_001.fastq.gz,1,7,31,1.7,4.7,NA,0.206,0.4899,F-R-166,2,0,1.33333333333333,8.1,7.66666666666667,92.3333333333333,6,0.043333333333333,6.40666666666667,6.16666666666667,0.086666666666667,0.266666666666667,16,0.433333333333333,29,1.83333333333333,0.333333333333333,0.036666666666667,0.166333333333333,26.2156666666667,80.8,18.8,0.4,Abies grandis,NA
ITS2,F-R-167,F-R-167_ITS,ITS2 amplicons from Snowbrush sample F-R-167,6,Q167,ND,1Burn_W3,1,Snowbrush,SRR27554200,PRJNA1064977,F-R-167_S246_L001_R1_001.fastq.gz,F-R-167_S246_L001_R2_001.fastq.gz,1,0,9,2.5,3.1,0,0.1447,0.1777,F-R-167,3,1,1.7,4.96666666666667,7.33333333333333,61.6666666666667,11.3333333333333,0.07,5.18333333333333,6.36666666666667,0.416666666666667,0.1,10.1,0.666666666666667,15.3333333333333,2.03333333333333,0.3,0.04,0.099,27.1886666666667,82.8,16.8,0.4,Ceanothus velutinus,NA
ITS2,F-R-168,F-R-168_ITS,ITS2 amplicons from GrandFir sample F-R-168,6,Q168,D,1Burn_W4,1,GrandFir,SRR27554199,PRJNA1064977,F-R-168_S332_L001_R1_001.fastq.gz,F-R-168_S332_L001_R2_001.fastq.gz,2,4,58,2,6.5,NA,0.3275,0.6929,F-R-168,4,1,4.16666666666667,10.4333333333333,8.33333333333333,72.3333333333333,9.66666666666667,0.05,5.97666666666667,6,0.033333333333333,0.333333333333333,12.2,0.733333333333333,20.6666666666667,1.5,0.333333333333333,0.056666666666667,0.103,17.1983333333333,88.8,10.8,0.4,Abies grandis,NA
ITS2,F-R-197,F-R-197_ITS,ITS2 amplicons from Snowbrush sample F-R-197,8,Q197,D,Sterile,NA,Snowbrush,SRR27554198,PRJNA1064977,F-R-197_S258_L001_R1_001.fastq.gz,F-R-197_S258_L001_R2_001.fastq.gz,6,0,5,0.8,2.8,0,0.2063,NA,F-R-197,Sterile,NA,2.45,19.1,6.16666666666667,52.8333333333333,8.5,0.04,4.825,5.73333333333333,0.11,0.25,63.2833333333333,0.533333333333333,14.8333333333333,1.55,0.3,0.07,0.110333333333333,25.6353333333333,88.8,10.8,0.4,Ceanothus velutinus,NA
ITS2,F-R-198,F-R-198_ITS,ITS2 amplicons from GrandFir sample F-R-198,8,Q198,ND,0Burn_W1,0,GrandFir,SRR27554197,PRJNA1064977,F-R-198_S344_L001_R1_001.fastq.gz,F-R-198_S344_L001_R2_001.fastq.gz,1,3,17,1,4.6,NA,0.2196,NA,F-R-198,1,0,1.36666666666667,10.0666666666667,10,108,12,0.036666666666667,7.89333333333333,5.96666666666667,0.096666666666667,0.733333333333333,26.3,0.533333333333333,58,1.66666666666667,0.4,0.043333333333333,0.179,26.3323333333333,80.8,18.8,0.4,Abies grandis,NA
ITS2,F-R-199,F-R-199_ITS,ITS2 amplicons from GrandFir sample F-R-199,8,Q199,D,0Burn_W1,0,GrandFir,SRR27554196,PRJNA1064977,F-R-199_S356_L001_R1_001.fastq.gz,F-R-199_S356_L001_R2_001.fastq.gz,1,4,57,1.6,5.6,NA,0.3255,0.5877,F-R-199,1,0,1.36666666666667,10.0666666666667,10,108,12,0.036666666666667,7.89333333333333,5.96666666666667,0.096666666666667,0.733333333333333,26.3,0.533333333333333,58,1.66666666666667,0.4,0.043333333333333,0.179,26.3323333333333,80.8,18.8,0.4,Abies grandis,NA
ITS2,F-R-200,F-R-200_ITS,ITS2 amplicons from GrandFir sample F-R-200,8,Q200,ND,0Burn_W2,0,GrandFir,SRR27554195,PRJNA1064977,F-R-200_S368_L001_R1_001.fastq.gz,F-R-200_S368_L001_R2_001.fastq.gz,1,5,36,2.4,6.6,NA,0.4149,0.6459,F-R-200,2,0,1.33333333333333,8.1,7.66666666666667,92.3333333333333,6,0.043333333333333,6.40666666666667,6.16666666666667,0.086666666666667,0.266666666666667,16,0.433333333333333,29,1.83333333333333,0.333333333333333,0.036666666666667,0.166333333333333,26.2156666666667,80.8,18.8,0.4,Abies grandis,NA
ITS2,F-R-201,F-R-201_ITS,ITS2 amplicons from Snowbrush sample F-R-201,8,Q201,ND,0Burn_W1,0,Snowbrush,SRR27554194,PRJNA1064977,F-R-201_S270_L001_R1_001.fastq.gz,F-R-201_S270_L001_R2_001.fastq.gz,1,0,20,2.3,5.4,0,0.5148,0.8102,F-R-201,1,0,1.36666666666667,10.0666666666667,10,108,12,0.036666666666667,7.89333333333333,5.96666666666667,0.096666666666667,0.733333333333333,26.3,0.533333333333333,58,1.66666666666667,0.4,0.043333333333333,0.179,26.3323333333333,80.8,18.8,0.4,Ceanothus velutinus,NA
ITS2,F-R-202,F-R-202_ITS,ITS2 amplicons from GrandFir sample F-R-202,8,Q202,D,1Burn_W3,1,GrandFir,SRR27554193,PRJNA1064977,F-R-202_S380_L001_R1_001.fastq.gz,F-R-202_S380_L001_R2_001.fastq.gz,1,3,16,1.1,5,NA,0.2252,NA,F-R-202,3,1,1.7,4.96666666666667,7.33333333333333,61.6666666666667,11.3333333333333,0.07,5.18333333333333,6.36666666666667,0.416666666666667,0.1,10.1,0.666666666666667,15.3333333333333,2.03333333333333,0.3,0.04,0.099,27.1886666666667,82.8,16.8,0.4,Abies grandis,NA
ITS2,F-R-203,F-R-203_ITS,ITS2 amplicons from Snowbrush sample F-R-203,8,Q203,D,1Burn_W3,1,Snowbrush,SRR27554192,PRJNA1064977,F-R-203_S282_L001_R1_001.fastq.gz,F-R-203_S282_L001_R2_001.fastq.gz,2,0,17,3,4.6,0,0.4234,0.8392,F-R-203,3,1,1.7,4.96666666666667,7.33333333333333,61.6666666666667,11.3333333333333,0.07,5.18333333333333,6.36666666666667,0.416666666666667,0.1,10.1,0.666666666666667,15.3333333333333,2.03333333333333,0.3,0.04,0.099,27.1886666666667,82.8,16.8,0.4,Ceanothus velutinus,NA
ITS2,F-R-204,F-R-204_ITS,ITS2 amplicons from Snowbrush sample F-R-204,8,Q204,D,0Burn_W2,0,Snowbrush,SRR27554191,PRJNA1064977,F-R-204_S199_L001_R1_001.fastq.gz,F-R-204_S199_L001_R2_001.fastq.gz,6,0,17,2.5,4.1,1,0.6175,1.1043,F-R-204,2,0,1.33333333333333,8.1,7.66666666666667,92.3333333333333,6,0.043333333333333,6.40666666666667,6.16666666666667,0.086666666666667,0.266666666666667,16,0.433333333333333,29,1.83333333333333,0.333333333333333,0.036666666666667,0.166333333333333,26.2156666666667,80.8,18.8,0.4,Ceanothus velutinus,NA
ITS2,F-R-205,F-R-205_ITS,ITS2 amplicons from GrandFir sample F-R-205,8,Q205,ND,3Burn_W6,3,GrandFir,SRR27554189,PRJNA1064977,F-R-205_S297_L001_R1_001.fastq.gz,F-R-205_S297_L001_R2_001.fastq.gz,1,4,29,1.5,5.5,NA,0.2876,0.4922,F-R-205,6,3,8.53333333333333,6.2,7.66666666666667,59.3333333333333,4.66666666666667,0.103333333333333,5.67,5.73333333333333,0.053333333333333,0.733333333333333,10.2333333333333,0.766666666666667,23,2.86666666666667,0.4,0.046666666666667,0.156666666666667,21.452,90.8,8.8,0.4,Abies grandis,NA
ITS2,F-R-206,F-R-206_ITS,ITS2 amplicons from Snowbrush sample F-R-206,8,Q206,ND,Sterile,NA,Snowbrush,SRR27554188,PRJNA1064977,F-R-206_S211_L001_R1_001.fastq.gz,F-R-206_S211_L001_R2_001.fastq.gz,1,0,16,3.9,5.8,0,0.7199,1.0211,F-R-206,Sterile,NA,2.45,19.1,6.16666666666667,52.8333333333333,8.5,0.04,4.825,5.73333333333333,0.11,0.25,63.2833333333333,0.533333333333333,14.8333333333333,1.55,0.3,0.07,0.110333333333333,25.6353333333333,88.8,10.8,0.4,Ceanothus velutinus,NA
ITS2,F-R-207,F-R-207_ITS,ITS2 amplicons from Snowbrush sample F-R-207,8,Q207,D,3Burn_W6,3,Snowbrush,SRR27554187,PRJNA1064977,F-R-207_S223_L001_R1_001.fastq.gz,F-R-207_S223_L001_R2_001.fastq.gz,1,0,12,1.6,4.4,11,0.331,0.678,F-R-207,6,3,8.53333333333333,6.2,7.66666666666667,59.3333333333333,4.66666666666667,0.103333333333333,5.67,5.73333333333333,0.053333333333333,0.733333333333333,10.2333333333333,0.766666666666667,23,2.86666666666667,0.4,0.046666666666667,0.156666666666667,21.452,90.8,8.8,0.4,Ceanothus velutinus,NA
ITS2,F-R-208,F-R-208_ITS,ITS2 amplicons from Snowbrush sample F-R-208,8,Q208,ND,3Burn_W5,3,Snowbrush,SRR27554186,PRJNA1064977,F-R-208_S235_L001_R1_001.fastq.gz,F-R-208_S235_L001_R2_001.fastq.gz,1,0,16,2.5,4.4,0,0.6729,1.4045,F-R-208,5,3,14.5333333333333,7.16666666666667,7,82,4.33333333333333,0.153333333333333,7.07333333333333,6.3,0.113333333333333,0.866666666666667,15.5666666666667,0.833333333333333,23,4.96666666666667,0.566666666666667,0.05,0.239333333333333,17.4663333333333,86.8,10.8,2.4,Ceanothus velutinus,NA
ITS2,F-R-209,F-R-209_ITS,ITS2 amplicons from Snowbrush sample F-R-209,8,Q209,ND,1Burn_W4,1,Snowbrush,SRR27554185,PRJNA1064977,F-R-209_S247_L001_R1_001.fastq.gz,F-R-209_S247_L001_R2_001.fastq.gz,1,0,19,2.4,4,0,0.5629,0.9969,F-R-209,4,1,4.16666666666667,10.4333333333333,8.33333333333333,72.3333333333333,9.66666666666667,0.05,5.97666666666667,6,0.033333333333333,0.333333333333333,12.2,0.733333333333333,20.6666666666667,1.5,0.333333333333333,0.056666666666667,0.103,17.1983333333333,88.8,10.8,0.4,Ceanothus velutinus,NA
ITS2,F-R-210,F-R-210_ITS,ITS2 amplicons from Snowbrush sample F-R-210,8,Q210,D,0Burn_W1,0,Snowbrush,SRR27554184,PRJNA1064977,F-R-210_S259_L001_R1_001.fastq.gz,F-R-210_S259_L001_R2_001.fastq.gz,6,0,11,2,5,1,0.4122,0.4951,F-R-210,1,0,1.36666666666667,10.0666666666667,10,108,12,0.036666666666667,7.89333333333333,5.96666666666667,0.096666666666667,0.733333333333333,26.3,0.533333333333333,58,1.66666666666667,0.4,0.043333333333333,0.179,26.3323333333333,80.8,18.8,0.4,Ceanothus velutinus,NA
