amplicon,sample_name,block,unique_id,drought,inoculum,fire_freq,species,other_frompreviouscolumn,control,filename_r1,filename_r2,wilting_scale,bud_number,leaf_number,leaf_length,height,nodule_num,shoot_dm,final_root_dm,seqtab_rows
ITS2,F-R-018,1,Q018,D,3Burn_W6,3,Snowbrush,NA,NA,F-R-018_S218_L001_R1_001.fastq.gz,F-R-018_S218_L001_R2_001.fastq.gz,6,0,28,2.6,5.7,7,0.49130000000000001,0.73829999999999996,F-R-018
ITS2,F-R-019,1,Q019,D,3Burn_W5,3,Snowbrush,NA,NA,F-R-019_S230_L001_R1_001.fastq.gz,F-R-019_S230_L001_R2_001.fastq.gz,6,0,35,2.6,5.2,9,0.53190000000000004,1.5298,F-R-019
ITS2,F-R-020,1,Q020,D,0Burn_W1,0,Snowbrush,NA,NA,F-R-020_S242_L001_R1_001.fastq.gz,F-R-020_S242_L001_R2_001.fastq.gz,6,0,26,1.7,4.5999999999999996,2,0.42359999999999998,0.49380000000000002,F-R-020
ITS2,F-R-021,1,Q021,D,1Burn_W4,1,Snowbrush,NA,NA,F-R-021_S254_L001_R1_001.fastq.gz,F-R-021_S254_L001_R2_001.fastq.gz,NA,NA,NA,NA,NA,0,0.84389999999999998,1.0848,F-R-021
ITS2,F-R-022,1,Q022,ND,0Burn_W1,0,Snowbrush,NA,NA,F-R-022_S266_L001_R1_001.fastq.gz,F-R-022_S266_L001_R2_001.fastq.gz,1,NA,NA,NA,5.0999999999999996,0,0.51349999999999996,0.64549999999999996,F-R-022
ITS2,F-R-023,1,Q023,D,0Burn_W2,0,GrandFir,NA,NA,F-R-023_S316_L001_R1_001.fastq.gz,F-R-023_S316_L001_R2_001.fastq.gz,1,11,59,2.4,7.6,NA,0.37090000000000001,0.60770000000000002,F-R-023
ITS2,F-R-024,1,Q024,D,3Burn_W5,3,GrandFir,NA,NA,F-R-024_S328_L001_R1_001.fastq.gz,F-R-024_S328_L001_R2_001.fastq.gz,1,7,48,4,7.9,NA,0.44829999999999998,0.82899999999999996,F-R-024
ITS2,F-R-025,1,Q025,D,0Burn_W1,0,GrandFir,NA,NA,F-R-025_S340_L001_R1_001.fastq.gz,F-R-025_S340_L001_R2_001.fastq.gz,1,6,49,2.2000000000000002,6.5,NA,0.2379,0.39560000000000001,F-R-025
ITS2,F-R-026,1,Q026,D,1Burn_W3,1,GrandFir,NA,NA,F-R-026_S352_L001_R1_001.fastq.gz,F-R-026_S352_L001_R2_001.fastq.gz,1,8,28,1.4,5.7,NA,0.15659999999999999,0.21129999999999999,F-R-026
ITS2,F-R-027,1,Q027,ND,0Burn_W1,0,GrandFir,NA,NA,F-R-027_S364_L001_R1_001.fastq.gz,F-R-027_S364_L001_R2_001.fastq.gz,1,5,69,2.5,6.5,NA,0.35289999999999999,0.70220000000000005,F-R-027
ITS2,F-R-028,1,Q028,ND,1Burn_W3,1,Snowbrush,NA,NA,F-R-028_S278_L001_R1_001.fastq.gz,F-R-028_S278_L001_R2_001.fastq.gz,3,0,15,1.8,3.5,0,0.40760000000000002,0.74819999999999998,F-R-028
ITS2,F-R-043,2,Q043,ND,1Burn_W3,1,GrandFir,NA,NA,F-R-043_S376_L001_R1_001.fastq.gz,F-R-043_S376_L001_R2_001.fastq.gz,1,4,41,1.8,4.5,NA,0.14119999999999999,0.17430000000000001,F-R-043
ITS2,F-R-057,3,Q057,ND,1Burn_W4,1,Snowbrush,NA,NA,F-R-057_S207_L001_R1_001.fastq.gz,F-R-057_S207_L001_R2_001.fastq.gz,1,0,22,3,6.5,0,0.53990000000000005,0.93579999999999997,F-R-057
ITS2,F-R-058,3,Q058,D,3Burn_W6,3,GrandFir,NA,NA,F-R-058_S293_L001_R1_001.fastq.gz,F-R-058_S293_L001_R2_001.fastq.gz,1,4,52,1.7,6.4,NA,0.2137,0.3377,F-R-058
ITS2,F-R-059,3,Q059,ND,1Burn_W4,1,GrandFir,NA,NA,F-R-059_S305_L001_R1_001.fastq.gz,F-R-059_S305_L001_R2_001.fastq.gz,1,7,46,2.5,7.9,NA,0.34,0.83799999999999997,F-R-059
ITS2,F-R-060,3,Q060,ND,Sterile,NA,GrandFir,NA,NA,F-R-060_S317_L001_R1_001.fastq.gz,F-R-060_S317_L001_R2_001.fastq.gz,1,3,54,1.5,6.5,NA,0.17549999999999999,0.1646,F-R-060
ITS2,F-R-061,3,Q061,ND,0Burn_W2,0,GrandFir,NA,NA,F-R-061_S329_L001_R1_001.fastq.gz,F-R-061_S329_L001_R2_001.fastq.gz,1,6,35,2.2000000000000002,6.4,NA,0.26269999999999999,0.73860000000000003,F-R-061
ITS2,F-R-062,3,Q062,ND,3Burn_W6,3,Snowbrush,NA,NA,F-R-062_S219_L001_R1_001.fastq.gz,F-R-062_S219_L001_R2_001.fastq.gz,1,0,32,4.2,6.3,198,1.8504,2.2624,F-R-062
ITS2,F-R-063,3,Q063,ND,3Burn_W6,3,GrandFir,NA,NA,F-R-063_S341_L001_R1_001.fastq.gz,F-R-063_S341_L001_R2_001.fastq.gz,1,5,46,2.1,4.0999999999999996,NA,0.16220000000000001,0.39429999999999998,F-R-063
ITS2,F-R-064,3,Q064,D,0Burn_W2,0,GrandFir,NA,NA,F-R-064_S353_L001_R1_001.fastq.gz,F-R-064_S353_L001_R2_001.fastq.gz,2,5,55,2.2000000000000002,6.5,NA,0.27039999999999997,0.64439999999999997,F-R-064
ITS2,F-R-065,3,Q065,ND,Sterile,NA,Snowbrush,NA,NA,F-R-065_S231_L001_R1_001.fastq.gz,F-R-065_S231_L001_R2_001.fastq.gz,1,0,30,3,5.4,0,0.53459999999999996,0.67249999999999999,F-R-065
ITS2,F-R-066,3,Q066,ND,3Burn_W5,3,GrandFir,NA,NA,F-R-066_S365_L001_R1_001.fastq.gz,F-R-066_S365_L001_R2_001.fastq.gz,1,7,45,2.2000000000000002,7.4,NA,0.30420000000000003,0.75419999999999998,F-R-066
ITS2,F-R-067,3,Q067,ND,0Burn_W2,0,Snowbrush,NA,NA,F-R-067_S243_L001_R1_001.fastq.gz,F-R-067_S243_L001_R2_001.fastq.gz,1,0,30,3,5.8,0,0.61670000000000003,1.5528,F-R-067
ITS2,F-R-068,3,Q068,D,3Burn_W6,3,Snowbrush,NA,NA,F-R-068_S255_L001_R1_001.fastq.gz,F-R-068_S255_L001_R2_001.fastq.gz,6,0,16,2.1,5.4,29,0.40400000000000003,0.63500000000000001,F-R-068
ITS2,F-R-069,3,Q069,D,1Burn_W4,1,Snowbrush,NA,NA,F-R-069_S267_L001_R1_001.fastq.gz,F-R-069_S267_L001_R2_001.fastq.gz,6,0,25,2,5.6,0,0.30399999999999999,0.59930000000000005,F-R-069
ITS2,F-R-070,3,Q070,ND,1Burn_W3,1,Snowbrush,NA,NA,F-R-070_S279_L001_R1_001.fastq.gz,F-R-070_S279_L001_R2_001.fastq.gz,1,0,28,2.8,5,0,0.56469999999999998,0.85099999999999998,F-R-070
