amplicon,sample_name,block,unique_id,drought,inoculum,fire_freq,species,other_frompreviouscolumn,control,filename_r1,filename_r2,wilting_scale,bud_number,leaf_number,leaf_length,height,nodule_num,shoot_dm,final_root_dm,seqtab_rows
16S,R-164,6,Q164,ND,Sterile,NA,Snowbrush,NA,NA,R-164_S30_L001_R1_001.fastq.gz,R-164_S30_L001_R2_001.fastq.gz,1,0,9,1.6,3.9,0,0.17519999999999999,0.20530000000000001,R-164
16S,R-165,6,Q165,D,1Burn_W4,1,Snowbrush,NA,NA,R-165_S42_L001_R1_001.fastq.gz,R-165_S42_L001_R2_001.fastq.gz,6,0,21,2.1,3.6,1,0.36730000000000002,0.76570000000000005,R-165
16S,R-166,6,Q166,D,0Burn_W2,0,GrandFir,NA,NA,R-166_S128_L001_R1_001.fastq.gz,R-166_S128_L001_R2_001.fastq.gz,1,7,31,1.7,4.7,NA,0.20599999999999999,0.4899,R-166
16S,R-167,6,Q167,ND,1Burn_W3,1,Snowbrush,NA,NA,R-167_S54_L001_R1_001.fastq.gz,R-167_S54_L001_R2_001.fastq.gz,1,0,9,2.5,3.1,0,0.1447,0.1777,R-167
16S,R-168,6,Q168,D,1Burn_W4,1,GrandFir,NA,NA,R-168_S140_L001_R1_001.fastq.gz,R-168_S140_L001_R2_001.fastq.gz,2,4,58,2,6.5,NA,0.32750000000000001,0.69289999999999996,R-168
16S,R-197,8,Q197,D,Sterile,NA,Snowbrush,NA,NA,R-197_S66_L001_R1_001.fastq.gz,R-197_S66_L001_R2_001.fastq.gz,6,0,5,0.8,2.8,0,0.20630000000000001,NA,R-197
16S,R-198,8,Q198,ND,0Burn_W1,0,GrandFir,NA,NA,R-198_S152_L001_R1_001.fastq.gz,R-198_S152_L001_R2_001.fastq.gz,1,3,17,1,4.5999999999999996,NA,0.21959999999999999,NA,R-198
16S,R-199,8,Q199,D,0Burn_W1,0,GrandFir,NA,NA,R-199_S164_L001_R1_001.fastq.gz,R-199_S164_L001_R2_001.fastq.gz,1,4,57,1.6,5.6,NA,0.32550000000000001,0.5877,R-199
16S,R-200,8,Q200,ND,0Burn_W2,0,GrandFir,NA,NA,R-200_S176_L001_R1_001.fastq.gz,R-200_S176_L001_R2_001.fastq.gz,1,5,36,2.4,6.6,NA,0.41489999999999999,0.64590000000000003,R-200
16S,R-201,8,Q201,ND,0Burn_W1,0,Snowbrush,NA,NA,R-201_S78_L001_R1_001.fastq.gz,R-201_S78_L001_R2_001.fastq.gz,1,0,20,2.2999999999999998,5.4,0,0.51480000000000004,0.81020000000000003,R-201
16S,R-202,8,Q202,D,1Burn_W3,1,GrandFir,NA,NA,R-202_S188_L001_R1_001.fastq.gz,R-202_S188_L001_R2_001.fastq.gz,1,3,16,1.1000000000000001,5,NA,0.22520000000000001,NA,R-202
16S,R-203,8,Q203,D,1Burn_W3,1,Snowbrush,NA,NA,R-203_S90_L001_R1_001.fastq.gz,R-203_S90_L001_R2_001.fastq.gz,2,0,17,3,4.5999999999999996,0,0.4234,0.83919999999999995,R-203
16S,R-204,8,Q204,D,0Burn_W2,0,Snowbrush,NA,NA,R-204_S7_L001_R1_001.fastq.gz,R-204_S7_L001_R2_001.fastq.gz,6,0,17,2.5,4.0999999999999996,1,0.61750000000000005,1.1043000000000001,R-204
16S,R-205,8,Q205,ND,3Burn_W6,3,GrandFir,NA,NA,R-205_S105_L001_R1_001.fastq.gz,R-205_S105_L001_R2_001.fastq.gz,1,4,29,1.5,5.5,NA,0.28760000000000002,0.49220000000000003,R-205
16S,R-206,8,Q206,ND,Sterile,NA,Snowbrush,NA,NA,R-206_S19_L001_R1_001.fastq.gz,R-206_S19_L001_R2_001.fastq.gz,1,0,16,3.9,5.8,0,0.71989999999999998,1.0210999999999999,R-206
16S,R-207,8,Q207,D,3Burn_W6,3,Snowbrush,NA,NA,R-207_S31_L001_R1_001.fastq.gz,R-207_S31_L001_R2_001.fastq.gz,1,0,12,1.6,4.4000000000000004,11,0.33100000000000002,0.67800000000000005,R-207
16S,R-208,8,Q208,ND,3Burn_W5,3,Snowbrush,NA,NA,R-208_S43_L001_R1_001.fastq.gz,R-208_S43_L001_R2_001.fastq.gz,1,0,16,2.5,4.4000000000000004,0,0.67290000000000005,1.4045000000000001,R-208
